eng,ger,eng_input,ger_input,ger_target,eng_num_tokens,ger_num_tokens
i have a tourist visa.,ich habe ein touristenvisum.,i have a tourist visa .,<sos> ich habe ein touristenvisum .,ich habe ein touristenvisum . <eos>,6,6
tom is much taller than you are.,tom ist viel größer als du.,tom is much taller than you are .,<sos> tom ist viel groer als du .,tom ist viel groer als du . <eos>,8,8
she held a flower in her hand.,sie hielt eine blume in der hand.,she held a flower in her hand .,<sos> sie hielt eine blume in der hand .,sie hielt eine blume in der hand . <eos>,8,9
tom hid the book behind his back.,tom verbarg das buch hinter seinem rücken.,tom hid the book behind his back .,<sos> tom verbarg das buch hinter seinem rucken .,tom verbarg das buch hinter seinem rucken . <eos>,8,9
the situation seems hopeless.,die lage scheint hoffnungslos.,the situation seems hopeless .,<sos> die lage scheint hoffnungslos .,die lage scheint hoffnungslos . <eos>,5,6
i was worried sick about tom.,ich war krank vor sorge um tom.,i was worried sick about tom .,<sos> ich war krank vor sorge um tom .,ich war krank vor sorge um tom . <eos>,7,9
tell us something we don't know.,"sag uns was, was wir noch nicht wissen.",tell us something we do not know .,"<sos> sag uns was , was wir noch nicht wissen .","sag uns was , was wir noch nicht wissen . <eos>",8,11
do you need to leave today?,müsst ihr heute weg?,do you need to leave today ?,<sos> musst ihr heute weg ?,musst ihr heute weg ? <eos>,7,6
some kinds of birds can't fly.,einige vogelarten können nicht fliegen.,some kinds of birds can not fly .,<sos> einige vogelarten konnen nicht fliegen .,einige vogelarten konnen nicht fliegen . <eos>,8,7
have you been to any of the places on this list?,waren sie schon einmal an irgendeinem der orte auf dieser liste?,have you been to any of the places on this list ?,<sos> waren sie schon einmal an irgendeinem der orte auf dieser liste ?,waren sie schon einmal an irgendeinem der orte auf dieser liste ? <eos>,12,13
can we talk to tom?,können wir mit tom sprechen?,can we talk to tom ?,<sos> konnen wir mit tom sprechen ?,konnen wir mit tom sprechen ? <eos>,6,7
i don't watch tv anymore.,ich sehe nicht mehr fern.,i do not watch tv anymore .,<sos> ich sehe nicht mehr fern .,ich sehe nicht mehr fern . <eos>,7,7
could you do that?,könntet ihr das tun?,could you do that ?,<sos> konntet ihr das tun ?,konntet ihr das tun ? <eos>,5,6
you should be able to walk in a few days.,in ein paar tagen müssten sie wieder laufen können.,you should be able to walk in a few days .,<sos> in ein paar tagen mussten sie wieder laufen konnen .,in ein paar tagen mussten sie wieder laufen konnen . <eos>,11,11
tom walked into the living room with two drinks in his hands.,tom ging mit zwei vollen gläsern in der hand ins wohnzimmer.,tom walked into the living room with two drinks in his hands .,<sos> tom ging mit zwei vollen glasern in der hand ins wohnzimmer .,tom ging mit zwei vollen glasern in der hand ins wohnzimmer . <eos>,13,13
i didn't do anything illegal.,ich habe nichts rechtswidriges getan.,i did not do anything illegal .,<sos> ich habe nichts rechtswidriges getan .,ich habe nichts rechtswidriges getan . <eos>,7,7
tom and mary were dancing.,tom und maria tanzten.,tom and mary were dancing .,<sos> tom und maria tanzten .,tom und maria tanzten . <eos>,6,6
i fully agree with you.,ich stimme dir voll und ganz zu.,i fully agree with you .,<sos> ich stimme dir voll und ganz zu .,ich stimme dir voll und ganz zu . <eos>,6,9
i wonder why you would say that.,"ich verstehe nicht ganz, warum du so etwas sagst.",i wonder why you would say that .,"<sos> ich verstehe nicht ganz , warum du so etwas sagst .","ich verstehe nicht ganz , warum du so etwas sagst . <eos>",8,12
what a disappointment!,was für eine enttäuschung!,what a disappointment !,<sos> was fur eine enttauschung !,was fur eine enttauschung ! <eos>,4,6
things don't always turn out the way we plan.,"es gerät nicht immer alles so, wie wir uns das vorstellen.",things do not always turn out the way we plan .,"<sos> es gerat nicht immer alles so , wie wir uns das vorstellen .","es gerat nicht immer alles so , wie wir uns das vorstellen . <eos>",11,14
you do good work.,sie leisten gute arbeit.,you do good work .,<sos> sie leisten gute arbeit .,sie leisten gute arbeit . <eos>,5,6
we won't stay long.,wir bleiben nicht lang.,we will not stay long .,<sos> wir bleiben nicht lang .,wir bleiben nicht lang . <eos>,6,6
he is so heartless.,er ist rücksichtslos.,he is so heartless .,<sos> er ist rucksichtslos .,er ist rucksichtslos . <eos>,5,5
tom doesn't have the right to say that.,"tom hat kein recht, das zu sagen.",tom does not have the right to say that .,"<sos> tom hat kein recht , das zu sagen .","tom hat kein recht , das zu sagen . <eos>",10,10
there are books on my bookshelf that i haven't read.,"es gibt bücher in meinem regal, die ich nicht gelesen habe.",there are books on my bookshelf that i have not read .,"<sos> es gibt bucher in meinem regal , die ich nicht gelesen habe .","es gibt bucher in meinem regal , die ich nicht gelesen habe . <eos>",12,14
tom hasn't yet told us what he needs.,"tom hat uns noch nicht gesagt, was er braucht.",tom has not yet told us what he needs .,"<sos> tom hat uns noch nicht gesagt , was er braucht .","tom hat uns noch nicht gesagt , was er braucht . <eos>",10,12
i wish you wouldn't call me that.,"ich wünschte, du würdest mich nicht so nennen.",i wish you would not call me that .,"<sos> ich wunschte , du wurdest mich nicht so nennen .","ich wunschte , du wurdest mich nicht so nennen . <eos>",9,11
check that.,prüfe das nach!,check that .,<sos> prufe das nach !,prufe das nach ! <eos>,3,5
i think that tom is hiding something from me.,"ich glaube, tom verheimlicht mir etwas.",i think that tom is hiding something from me .,"<sos> ich glaube , tom verheimlicht mir etwas .","ich glaube , tom verheimlicht mir etwas . <eos>",10,9
i was exhausted after running the race.,nach dem wettlauf war ich erschöpft.,i was exhausted after running the race .,<sos> nach dem wettlauf war ich erschopft .,nach dem wettlauf war ich erschopft . <eos>,8,8
will he eat the whole cake?,wird er den ganzen kuchen essen?,will he eat the whole cake ?,<sos> wird er den ganzen kuchen essen ?,wird er den ganzen kuchen essen ? <eos>,7,8
they started running.,sie liefen los.,they started running .,<sos> sie liefen los .,sie liefen los . <eos>,4,5
she will be seventeen next year.,sie wird nächstes jahr siebzehn.,she will be seventeen next year .,<sos> sie wird nachstes jahr siebzehn .,sie wird nachstes jahr siebzehn . <eos>,7,7
tom likes his coffee black.,tom mag seinen kaffee schwarz.,tom likes his coffee black .,<sos> tom mag seinen kaffee schwarz .,tom mag seinen kaffee schwarz . <eos>,6,7
he is expected to come home soon.,"es wird erwartet, dass er bald nachhause kommt.",he is expected to come home soon .,"<sos> es wird erwartet , dass er bald nachhause kommt .","es wird erwartet , dass er bald nachhause kommt . <eos>",8,11
tom travels a great deal.,tom geht viel auf reisen.,tom travels a great deal .,<sos> tom geht viel auf reisen .,tom geht viel auf reisen . <eos>,6,7
the satellite is now in orbit.,der satellit befindet sich jetzt in seiner umlaufbahn.,the satellite is now in orbit .,<sos> der satellit befindet sich jetzt in seiner umlaufbahn .,der satellit befindet sich jetzt in seiner umlaufbahn . <eos>,7,10
why do you want to buy this book?,warum willst du das buch kaufen?,why do you want to buy this book ?,<sos> warum willst du das buch kaufen ?,warum willst du das buch kaufen ? <eos>,9,8
"if you add one hundred to one thousand, you get eleven hundred.","wenn sie hundert zu tausend addieren, erhalten sie eintausendeinhundert.","if you add one hundred to one thousand , you get eleven hundred .","<sos> wenn sie hundert zu tausend addieren , erhalten sie eintausendeinhundert .","wenn sie hundert zu tausend addieren , erhalten sie eintausendeinhundert . <eos>",14,12
can i help you find something?,kann ich ihnen beim suchen behilflich sein?,can i help you find something ?,<sos> kann ich ihnen beim suchen behilflich sein ?,kann ich ihnen beim suchen behilflich sein ? <eos>,7,9
i need inspiration.,ich brauche inspiration.,i need inspiration .,<sos> ich brauche inspiration .,ich brauche inspiration . <eos>,4,5
i thought you said you weren't interested.,"du hast doch gesagt, du wärest nicht interessiert.",i thought you said you were not interested .,"<sos> du hast doch gesagt , du warest nicht interessiert .","du hast doch gesagt , du warest nicht interessiert . <eos>",9,11
i wish i'd kept up my french.,"ich wünschte, ich wäre beim französischen am ball geblieben.",i wish i would kept up my french .,"<sos> ich wunschte , ich ware beim franzosischen am ball geblieben .","ich wunschte , ich ware beim franzosischen am ball geblieben . <eos>",9,12
i am changing my clothes.,ich wechsele die kleidung.,i am changing my clothes .,<sos> ich wechsele die kleidung .,ich wechsele die kleidung . <eos>,6,6
i'd like tom to handle this investigation.,"ich hätte gerne, dass tom diese untersuchung durchführt.",i would like tom to handle this investigation .,"<sos> ich hatte gerne , dass tom diese untersuchung durchfuhrt .","ich hatte gerne , dass tom diese untersuchung durchfuhrt . <eos>",9,11
corn starch is good for thickening soup.,maisstärke eignet sich gut zum eindicken von suppen.,corn starch is good for thickening soup .,<sos> maisstarke eignet sich gut zum eindicken von suppen .,maisstarke eignet sich gut zum eindicken von suppen . <eos>,8,10
tom said that he was too busy to eat.,"tom sagte, dass er zum essen zu beschäftigt sei.",tom said that he was too busy to eat .,"<sos> tom sagte , dass er zum essen zu beschaftigt sei .","tom sagte , dass er zum essen zu beschaftigt sei . <eos>",10,12
you aren't listening.,du hörst nicht zu.,you are not listening .,<sos> du horst nicht zu .,du horst nicht zu . <eos>,5,6
tom doesn't buy bread.,tom kauft kein brot.,tom does not buy bread .,<sos> tom kauft kein brot .,tom kauft kein brot . <eos>,6,6
do you know anything about tom's childhood?,wissen sie etwas über toms kindheit?,do you know anything about tom 's childhood ?,<sos> wissen sie etwas uber toms kindheit ?,wissen sie etwas uber toms kindheit ? <eos>,9,8
you must not open the door.,die tür darfst du nicht öffnen.,you must not open the door .,<sos> die tur darfst du nicht offnen .,die tur darfst du nicht offnen . <eos>,7,8
playing tennis is easy for me.,tennisspielen ist leicht für mich.,playing tennis is easy for me .,<sos> tennisspielen ist leicht fur mich .,tennisspielen ist leicht fur mich . <eos>,7,7
that kid's a chip off the old block.,bei dem kind fällt der apfel nicht weit vom stamm.,that kid 's a chip off the old block .,<sos> bei dem kind fallt der apfel nicht weit vom stamm .,bei dem kind fallt der apfel nicht weit vom stamm . <eos>,10,12
do you disagree?,sind sie anderer ansicht?,do you disagree ?,<sos> sind sie anderer ansicht ?,sind sie anderer ansicht ? <eos>,4,6
i'm not going to fire you.,ich werde sie nicht entlassen.,i am not going to fire you .,<sos> ich werde sie nicht entlassen .,ich werde sie nicht entlassen . <eos>,8,7
tom might not know the answer.,möglicherweise weiß tom die antwort nicht.,tom might not know the answer .,<sos> moglicherweise wei tom die antwort nicht .,moglicherweise wei tom die antwort nicht . <eos>,7,8
the baby is able to walk.,das baby kann laufen.,the baby is able to walk .,<sos> das baby kann laufen .,das baby kann laufen . <eos>,7,6
thanks for coming with me.,"danke, dass sie mitgekommen sind!",thanks for coming with me .,"<sos> danke , dass sie mitgekommen sind !","danke , dass sie mitgekommen sind ! <eos>",6,8
how late did you stay at the party last night?,wie lange bist du auf der party letzte nacht geblieben?,how late did you stay at the party last night ?,<sos> wie lange bist du auf der party letzte nacht geblieben ?,wie lange bist du auf der party letzte nacht geblieben ? <eos>,11,12
tom kept looking at mary.,"tom hörte nicht auf, maria anzusehen.",tom kept looking at mary .,"<sos> tom horte nicht auf , maria anzusehen .","tom horte nicht auf , maria anzusehen . <eos>",6,9
why are you speaking french to tom?,warum sprecht ihr mit tom französisch?,why are you speaking french to tom ?,<sos> warum sprecht ihr mit tom franzosisch ?,warum sprecht ihr mit tom franzosisch ? <eos>,8,8
will it be hot again tomorrow?,wird es morgen wieder heiß werden?,will it be hot again tomorrow ?,<sos> wird es morgen wieder hei werden ?,wird es morgen wieder hei werden ? <eos>,7,8
it's a piece of cake.,das ist ein kinderspiel.,it is a piece of cake .,<sos> das ist ein kinderspiel .,das ist ein kinderspiel . <eos>,7,6
tom ate an apple.,tom aß einen apfel.,tom ate an apple .,<sos> tom a einen apfel .,tom a einen apfel . <eos>,5,6
tom was born in australia.,tom ist in australien geboren.,tom was born in australia .,<sos> tom ist in australien geboren .,tom ist in australien geboren . <eos>,6,7
knock before entering.,"klopfe an, bevor du ins zimmer kommst!",knock before entering .,"<sos> klopfe an , bevor du ins zimmer kommst !","klopfe an , bevor du ins zimmer kommst ! <eos>",4,10
when did tom graduate from high school?,wann hat tom sein abitur gemacht?,when did tom graduate from high school ?,<sos> wann hat tom sein abitur gemacht ?,wann hat tom sein abitur gemacht ? <eos>,8,8
"we have very little time, so listen carefully.","wir haben sehr wenig zeit, also hör genau zu!","we have very little time , so listen carefully .","<sos> wir haben sehr wenig zeit , also hor genau zu !","wir haben sehr wenig zeit , also hor genau zu ! <eos>",10,12
she caught my eye.,sie fiel mir ins auge.,she caught my eye .,<sos> sie fiel mir ins auge .,sie fiel mir ins auge . <eos>,5,7
